WARNING: 4 open meshes merged
     Merged: MainWing_Transonic
     Merged: HorizontalTail
     Merged: MeshGeom
     Merged: MeshGeom
...Mass Properties...
26 Num Comps
26 Total Num Meshes
20448 Total Num Tris

1.882153994575634e+03             Total Mass
3.344868678020951e+01 9.660129886435809e-06 8.249736610624350e-02       Center of Gravity
4.743477320305624e+04 4.895591143191622e+05 5.268390282421969e+05       Ixx, Iyy, Izz
-1.136678948626226e+01 6.815165894340639e+03 1.067553567633031e+01       Ixy, Ixz, Iyz
1.882153994575634e+03             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	1.882153994575634e+03	3.344868678020951e+01	9.660129886435809e-06	8.249736610624350e-02	4.743477320305624e+04	4.895591143191622e+05	5.268390282421969e+05	-1.136678948626226e+01	6.815165894340639e+03	1.067553567633031e+01	1.882153994575634e+03

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
100 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
3.453500000000000e-01	1.653659115891237e-01	3.453500000000000e-01	-1.874177799144405e-16	1.739490237880922e-17	8.266621108808212e-03	2.012953023690007e-02	2.100814712502214e-02	8.229446113916197e-05	-2.618981773674540e-05	2.069845968239469e-04	1.653659115891237e-01
1.036050000000000e+00	1.608740289342640e+00	9.650514454842327e-01	-1.513914349754464e-16	3.513516505906815e-17	5.508401695637692e-01	4.912180719552631e-01	5.209662097516043e-01	-6.071594542729619e-03	-9.521755674006052e-04	8.398404834308605e-03	1.608740289342640e+00
1.726750000000000e+00	4.809844218232987e+00	1.471985999881569e+00	-5.587295683867717e-16	1.227491201634910e-16	3.070613775061487e+00	2.700236173862102e+00	2.710399817420782e+00	-2.053630470628759e-02	-2.715907762341713e-03	2.951853321744640e-02	4.809844218232987e+00
2.417450000000001e+00	1.029574383540029e+01	1.975759275442431e+00	2.939592861068725e-11	-9.317969082949057e-12	1.026907732310191e+01	9.288011150341690e+00	8.993415676681478e+00	-5.427253275359666e-02	-6.983231573459079e-03	5.885113734586664e-02	1.029574383540029e+01
3.108150000000000e+00	1.797900903754892e+01	2.459682401075108e+00	1.683460867844234e-11	-5.335865999187557e-12	2.428681789010041e+01	2.312013844164868e+01	2.199022131060716e+01	-1.019562020386578e-01	-1.351912636359924e-02	1.075777314706331e-01	1.797900903754892e+01
3.798850000000001e+00	2.815791508071150e+01	2.943782915137708e+00	1.074861799979221e-11	-3.406914813811623e-12	4.873740321497568e+01	4.890736154793854e+01	4.598820859894797e+01	-1.716530872732018e-01	-2.286712606188574e-02	1.655816962888767e-01	2.815791508071150e+01
4.489550000000000e+00	4.021672895962347e+01	3.407274553038336e+00	4.509863399835784e-04	6.254170757788062e-04	8.297246895106743e+01	8.881906968058841e+01	8.305607270326581e+01	-2.317457075244239e-01	-6.953560593675330e-03	2.722771620290201e-01	4.021672895962347e+01
5.180250000000001e+00	5.428975687014791e+01	3.866866461129660e+00	3.340813524551005e-04	4.632960336049548e-04	1.295338756307760e+02	1.483516248769943e+02	1.384231429500694e+02	-3.366329439947221e-01	-3.175258267761803e-02	3.588390667171645e-01	5.428975687014791e+01
5.870950000000001e+00	6.942885778758806e+01	4.303860873953791e+00	2.612342472222449e-04	3.622734094267695e-04	1.833670478998743e+02	2.268359117418569e+02	2.118723841504292e+02	-4.527752598603540e-01	-5.796329373873994e-02	4.495295683990219e-01	6.942885778758806e+01
